VGNKennung;VAGKennung;Haltestellenname;Ort;longitude;latitude;GlobalID;Betriebszweig;Dataprovider
1271;BOXD;Boxdorf;Nürnberg;110157432;493051588;de:9564:1271:0:4;B;VAG
1271;BOXD;Boxdorf;Nürnberg;110204848;493049068;de:9564:1271:0:5;B;VAG
1272;REUTLE;Reutles;Nürnberg;110128264;493201673;de:9564:1272:0:1;B;VAG
1272;REUTLE;Reutles;Nürnberg;110127300;493201948;de:9564:1272:0:2;B;VAG
1273;BOX-NO;Boxdorf Nord;Nürnberg;110158078;493124114;de:9564:1273:0:1;B;VAG
1273;BOX-NO;Boxdorf Nord;Nürnberg;110156939;493122864;de:9564:1273:0:2;B;VAG
1273;BOX-NO;Boxdorf Nord;Nürnberg;110154357;493123660;de:9564:1273:0:3;B;VAG
1274;MOOSAE;Moosäckerstraße;Nürnberg;110202562;493107222;de:9564:1274:0:1;B;VAG
1274;MOOSAE;Moosäckerstraße;Nürnberg;110200960;493107320;de:9564:1274:0:2;B;VAG
1274;MOOSAE;Moosäckerstraße;Nürnberg;110204959;493107896;de:9564:1274:0:3;B;VAG
1275;NEUN;Neunhof;Nürnberg;110305998;493111877;de:9564:1275:0:1;B;VAG
1275;NEUN;Neunhof;Nürnberg;110304025;493110837;de:9564:1275:0:2;B;VAG
1276;KRIEGE;Kriegerdenkmal;Nürnberg;110254438;493100521;de:9564:1276:0:1;B;VAG
1276;KRIEGE;Kriegerdenkmal;Nürnberg;110254274;493101701;de:9564:1276:0:2;B;VAG
1276;KRIEGE;Kriegerdenkmal;Nürnberg;110254438;493100521;de:9564:1276:0:3;B;VAG
1276;KRIEGE;Kriegerdenkmal;Nürnberg;110254438;493100521;de:9564:1276:0:4;B;VAG
1277;A-KRES;Am Kressenstein;Nürnberg;110248358;493045304;de:9564:1277:0:1;B;VAG
1277;A-KRES;Am Kressenstein;Nürnberg;110249738;493044700;de:9564:1277:0:2;B;VAG
1277;A-KRES;Am Kressenstein;Nürnberg;110249738;493044700;de:9564:1277:0:4;B;VAG
1278;KRAF;Kraftshof;Nürnberg;110257724;493040100;de:9564:1278:0:1;B;VAG
1278;KRAF;Kraftshof;Nürnberg;110256969;493040361;de:9564:1278:0:2;B;VAG
1279;KRAF-S;Kraftshof Süd;Nürnberg;110251366;493027012;de:9564:1279:0:1;B;VAG
1279;KRAF-S;Kraftshof Süd;Nürnberg;110250662;493027314;de:9564:1279:0:2;B;VAG
1280;BUCH-N;Buch Nord;Nürnberg;110241526;493011233;de:9564:1280:0:1;B;VAG
1280;BUCH-N;Buch Nord;Nürnberg;110240678;493010505;de:9564:1280:0:2;B;VAG
1280;BUCH-N;Buch Nord;Nürnberg;110241598;493009324;de:9564:1280:0:3;B;VAG
1280;BUCH-N;Buch Nord;Nürnberg;110242604;493011315;de:9564:1280:0:4;B;VAG
1281;BUCH-S;Buch Süd;Nürnberg;110249275;492946569;de:9564:1281:0:1;B;VAG
1281;BUCH-S;Buch Süd;Nürnberg;110246271;492947708;de:9564:1281:0:2;B;VAG
1282;HOEFLE;Seeweg;Nürnberg;110224424;492931160;de:9564:1282:0:1;B;VAG
1282;HOEFLE;Seeweg;Nürnberg;110224511;492930845;de:9564:1282:0:2;B;VAG
1283;AWEG-B;Am Wegfeld;Nürnberg;110312384;492933072;de:9564:1283:13:1;B;VAG
1283;AWEG-B;Am Wegfeld;Nürnberg;110312816;492932172;de:9564:1283:13:2;B;VAG
1283;AWEG-B;Am Wegfeld;Nürnberg;110313284;492931164;de:9564:1283:13:3;B;VAG
1283;AWEG-B;Am Wegfeld;Nürnberg;110314868;492931632;de:9564:1283:13:4;B;VAG
1283;AWEG-B;Am Wegfeld;Nürnberg;110314436;492932532;de:9564:1283:13:5;B;VAG
1283;AWEG-B;Am Wegfeld;Nürnberg;110314112;492933288;de:9564:1283:13:6;B;VAG
1283;AWEG-B;Am Wegfeld;Nürnberg;110314580;492935304;de:9564:1283:13:7;B;VAG
1283;AWEG-B;Am Wegfeld;Nürnberg;110309122;492936877;de:9564:1283:13:8;B;VAG
